jira_id,affected versions,fixed version,commit date,created,resolution date
2019-05-07T13:03:28Z,bb7c2ba5d2cb60abe7e8f4aeb48615e8c2e79647,SYNCOPE-1467,2019-05-07T13:05:00.000+0000,[2.0.13  2.1.4],[2.0.14  2.1.5  3.0.0],2019-05-03T14:59:25.000+0000
2019-10-23T12:51:49Z,5e7c289802420d6c248a63f2137fcfd656eae35c,SYNCOPE-1461,2019-10-23T12:52:59.000+0000,[2.1.4],[2.1.6  3.0.0],2019-04-16T09:28:51.000+0000
2019-04-08T12:11:34Z,43aafa5b5c0afb64a46f3c9ecd806c8ce1607c0c,SYNCOPE-1457,2019-04-08T10:15:11.000+0000,[2.0.12  2.1.3],[2.0.13  2.1.4  3.0.0],2019-04-05T13:20:50.000+0000
2019-04-08T10:13:43Z,4d623ddf02bd8b048947c06a47c2adc8090a6f4d,SYNCOPE-1457,2019-04-08T10:15:11.000+0000,[2.0.12  2.1.3],[2.0.13  2.1.4  3.0.0],2019-04-05T13:20:50.000+0000
2019-04-02T10:21:41Z,289aeb35eed92e2cd5e9ce1b20af52d8a6620609,SYNCOPE-1454,2019-04-02T10:26:30.000+0000,[2.0.12  2.1.3],[2.0.13  2.1.4  3.0.0],2019-04-02T10:14:53.000+0000
2019-03-28T10:59:03Z,5f13c73f2132fd0413c84aed0855da49711eee7d,SYNCOPE-1453,2019-03-27T16:39:24.000+0000,[2.0.12  2.1.3],[2.0.13  2.1.4  3.0.0],2019-03-27T11:23:59.000+0000
2019-03-27T16:34:26Z,37c6aacd0dbfccdea7e98c95c94aea882b563d1b,SYNCOPE-1453,2019-03-27T16:39:24.000+0000,[2.0.12  2.1.3],[2.0.13  2.1.4  3.0.0],2019-03-27T11:23:59.000+0000
2019-03-26T13:34:53Z,202337abbaf23aaed17f4f06aff2c618a11117d7,SYNCOPE-1452,2019-03-26T13:31:38.000+0000,[2.0.12  2.1.3],[2.0.13  2.1.4  3.0.0],2019-03-25T12:03:57.000+0000
2019-03-12T13:18:03Z,b723ee53ebeeabd4e510ff7593b87cf167e5aaf9,SYNCOPE-1450,2019-03-12T13:18:50.000+0000,[2.0.12  2.1.3],[2.0.13  2.1.4  3.0.0],2019-03-12T12:44:06.000+0000
2019-03-25T13:43:27Z,50469a15b51b99e6b1e52a05626f96e0b9ce6cdd,SYNCOPE-1448,2019-03-25T13:45:34.000+0000,[2.1.3],[2.1.4  3.0.0],2019-03-11T20:11:49.000+0000
2019-03-11T14:56:06Z,2bae7c4f54afa85ef3c4c151ba1106fc986f26c4,SYNCOPE-1447,2019-03-11T14:56:40.000+0000,[2.1.3],[2.1.4  3.0.0],2019-03-11T10:20:19.000+0000
2019-03-12T11:58:04Z,480ea47befd1b651b373658960bd0beee9f6a9d7,SYNCOPE-1446,2019-03-12T11:59:00.000+0000,[2.1.3],[2.1.4  3.0.0],2019-03-08T16:17:38.000+0000
2019-03-04T11:58:36Z,4ce9519705ec1654feff660b4992aac9ad6c90d5,SYNCOPE-1443,2019-03-04T12:01:02.000+0000,[2.0.12  2.1.3],[2.0.13  2.1.4  3.0.0],2019-02-28T15:10:46.000+0000
2019-03-04T07:57:48Z,141edff18d7bca4ca681bd0c5bb0fd52f79b7f7a,SYNCOPE-1442,2019-03-04T07:59:54.000+0000,[2.0.12  2.1.3],[2.0.13  2.1.4  3.0.0],2019-02-26T09:37:50.000+0000
2019-03-04T10:55:18Z,8b348db262d4e77285c88df9fe41a93dfabdeb35,SYNCOPE-1440,2019-03-04T10:55:51.000+0000,[2.0.12  2.1.3],[2.0.13  2.1.4  3.0.0],2019-02-21T09:59:56.000+0000
2019-03-07T13:35:27Z,431c351342e06aaf21a2984488b0259c891ff612,SYNCOPE-1439,2019-03-07T11:12:22.000+0000,[2.0.12  2.1.3],[2.0.13  2.1.4  3.0.0],2019-02-20T12:05:15.000+0000
